Name,Team,Position,Cost,Games_15_16,Avg_15_16,Total_15_16
Matthew Short,MELR,BAT - BWL,"30,000",0,0,0
Matthew Short,MELR,BWL - BAT,"30,000",0,0,0
Matthew Wade,MELR,WKP,"42,100",5,28.2,141
Max Bryant,BNE,BAT - BWL,"20,000",0,0,0
Max Bryant,BNE,BWL - BAT,"20,000",0,0,0
Michael Beer,MELS,BWL,"54,900",9,36.78,331
Michael Klinger,PER,BAT,"58,600",9,39.22,353
Michael Neser,ADL,BAT - BWL,"75,600",0,0,0
Michael Neser,ADL,BWL - BAT,"75,600",0,0,0
Mitchell Johnson,PER,BWL,"65,000",0,0,0
Mitchell Marsh,PER,BAT - BWL,"53,000",1,19,19
Mitchell Marsh,PER,BWL - BAT,"53,000",1,19,19
Mitchell Starc,SYD6,BWL,"90,000",0,0,0
Mitchell Swepson,BNE,BWL,"71,100",2,59.5,119
Moises Henriques,SYD6,BAT - BWL,"98,200",3,73,219
Moises Henriques,SYD6,BWL - BAT,"98,200",3,73,219
Nadun Maliduwa,ADL,BWL,"20,000",0,0,0
Nathan Coulter-Nile,PER,BWL,"76,500",1,64,64
Nathan Lyon,SYD6,BWL,"91,100",4,61,244
Nathan McAndrew,SYDT,BWL,"30,000",2,10,20
Nathan Reardon,BNE,BAT,"37,900",8,25.38,203
Nathan Rimmington,MELR,BWL,"53,600",7,35.86,251
Nic Maddinson,SYD6,BAT,"44,400",7,29.71,208
Nick Winter,MELR,BWL,"49,500",0,0,0
Patrick Cummins,SYDT,BWL,"48,200",0,0,0
Peter Handscomb,MELS,WKP,"51,500",10,34.5,345
Peter Nevill,MELR,WKP,"30,000",3,14.67,44
Peter Siddle,MELR,BWL,"58,900",0,0,0
Robert Quiney,MELS,BAT,"30,000",5,15.8,79
Ryan Carters,SYD6,WKP,"30,000",3,19.67,59
Ryan Gibson,SYDT,BAT,"20,000",0,0,0
Sam Billings,SYD6,BAT,"70,000",0,0,0
Sam Harper,MELS,WKP,"20,000",0,0,0
Sam Heazlett,BNE,BAT,"31,400",3,21,63
Sam Rainbird,HOB,BWL,"61,000",6,40.83,245
Sam Whiteman,PER,WKP,"30,000",0,0,0
Samuel Badree,BNE,BWL,"67,200",8,45,360
Scott Boland,MELS,BWL,"71,000",4,47.5,190
Sean Abbott,SYD6,BAT - BWL,"61,400",8,41.13,329
Sean Abbott,SYD6,BWL - BAT,"61,400",8,41.13,329
Sebastian Gotch,MELS,BAT,"20,000",0,0,0
Shane Watson,SYDT,BAT - BWL,"90,200",10,60.4,604
Shane Watson,SYDT,BWL - BAT,"90,200",10,60.4,604
Shaun Marsh,PER,BAT,"83,100",5,55.6,278
Shaun Tait,HOB,BWL,"62,800",8,42,336
Shubham Bhargave,MELR,BAT - BWL,"20,000",0,0,0
Shubham Bhargave,MELR,BWL - BAT,"20,000",0,0,0
Simon Milenko,HOB,BAT - BWL,"68,000",1,91,91
Simon Milenko,HOB,BWL - BAT,"68,000",1,91,91
Stephen O'Keefe,SYD6,BAT - BWL,"60,100",3,44.67,134
Stephen O'Keefe,SYD6,BWL - BAT,"60,100",3,44.67,134
Stuart Broad,HOB,BWL,"70,000",0,0,0
Sunil Narine,MELR,BWL,"75,000",0,0,0
Tim Ludeman,ADL,WKP,"54,500",9,36.44,328
Tim Paine,HOB,WKP,"73,400",8,49.13,393
Tom Beaton,MELR,BAT,"30,000",0,0,0
Tom Cooper,MELR,BAT,"30,000",8,18.13,145
Tom Triffitt,MELS,WKP,"30,000",1,4,4
Travis Head,ADL,BAT - BWL,"100,100",9,67,603
Travis Head,ADL,BWL - BAT,"100,100",9,67,603
Usman Khawaja,SYDT,BAT,"157,300",4,105.25,421
Wes Agar,ADL,BWL,"20,000",0,0,0
Xavier Crone,MELR,BWL,"20,000",0,0,0
Xavier Doherty,MELR,BWL,"45,200",7,30.29,212
